ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
CACIOTTINA FRESCA;100;261;1092;54,8;17,3;17;0;2;0;2;21,3;13,22;6,89;0,75;5,83;0,44;0,31;0;90;0;0;0,8;290;299;36;420;2,6;0,03;0,31;0,1;2;0,09;19;142;20;0,33;0
CAFFE' ALL'AMERICANA, in tazza;100;2;8;99,3;0,1;0;0,1;0,4;0;0,4;0;2;0;2;0;2;0;0;0;0;0;0,4;2;2;54;1;0;0;0;0,2;0;0;2;0;0;2;0
CAFFE' BAR, in tazza;100;4;17;95,4;0,4;0;0,4;0,6;0;0,6;2;2;2;2;2;2;2;2;0;0;0;0,2;6;2;251;17;0,2;2;0,02;1,9;0;2;2;0;0;2;0
CAFFE' CRUDO, in grani;100;190;795;10,2;11,2;0;11,2;6,7;0;6,7;13,1;5,16;1,07;5,13;1,05;4,72;0,39;0;0;49,5;0;20;160;2;1860;160;0,7;0,21;0,23;2,2;3;0,14;20;3;3;3;0
CAFFE' DECAFFEINATO, in tazza;100;4;17;95,4;0,4;0;0,4;0,6;0;0,6;2;2;2;2;2;2;2;2;0;0;0;0,2;6;2;251;17;0,2;2;0,02;1,9;0;2;2;0;0;2;0
CAFFE' DECAFFEINATO, TOSTATO, MACINATO;100;287;1201;4,1;10,4;0;10,4;28,5;28,5;2;15,4;6,07;1,26;6,04;1,23;5,54;0,46;0;0;3;0;4,1;130;74;2020;160;0,7;0,07;0,2;10;0;2;22;0;0;2;0
CAFFE' MOKA, in tazza;100;4;17;95,4;0,4;0;0,4;0,6;0;0,6;2;2;2;2;2;2;2;2;0;0;0;0,2;6;2;251;17;0,2;2;0,02;1,9;0;2;2;0;0;2;0
CAFFE' SOLUBILE, DECAFFEINATO, in polvere;100;224;937;3,2;13,9;0;13,9;42,6;17,4;25,2;0,2;0,1;0,02;0,1;0,02;0,09;0,01;0;0;0;0;3,8;140;23;4;286;0,1;0,01;1,36;28,1;0;0,03;0;0;0;2;0
CAFFE' SOLUBILE, DECAFFEINATO, in tazza;100;2;2;99,2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;1;2;33;3;2;0;2;0,2;0;0;2;2;2;0;0
CAFFE' SOLUBILE, in polvere;100;223;933;3,4;20,4;0;20,4;41,1;16,8;24,3;2;2;2;2;2;2;2;0;0;0;0;4,6;140;81;3780;310;1,1;0,04;0,21;24,8;0;0,02;11;0;0;2;0
CAFFE' SOLUBILE, in tazza;100;2;2;99,2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;1;2;33;3;2;0;2;0,2;0;0;2;2;2;0;0
CAFFE' TOSTATO, MACINATO;100;287;1201;4,1;10,4;0;10,4;28,5;28,5;2;15,4;6,07;1,26;6,04;1,23;5,54;0,46;0;0;3;0;4,1;130;74;2020;160;0,7;0,07;0,2;10;0;2;22;0;0;2;0
CALAMARO [LOLIGO VULGARIS];65;68;285;80;12,6;12;0;0,6;0;2;1,7;0,3;0,2;0,5;0,1;0,1;2;0;222;0;0;0;144;425;93;189;1,1;0,07;0,16;1,2;0;0,69;13;75;2;1,2;2
CALAMARO SURGELATO;100;70;293;82;13,5;13;0;1;0;2;1,4;0,19;0,19;0,47;0,09;0,09;2;0;200;0;0;0,2;15;216;171;194;1,4;0,07;0,03;0,9;0;0,79;2;15;2;1,2;2
CAMEMBERT;100;297;1243;50,7;20,9;20;0;2;0;2;23,7;14,91;6,86;0,7;5,62;0,44;0,26;0;75;0;0;0,2;350;650;100;310;2,7;0,05;0,52;0,9;2;0,22;102;283;315;0,65;0
CANDITI;100;283;1184;17;0,5;0;0,5;75;0;75;0;0;0;0;0;0;0;0;0;4,5;0;1,5;60;27;24;7;0,1;0,05;0,04;0,5;0;2;2;8;48;2;0
CANNELLA [CINNAMOMUM VERUM e AROMATICUM];100;252;1054;10;3,9;0;3,9;55,5;0;55,5;3,2;0,65;0,48;0,53;0,45;0,53;0;0;0;24,4;0;38,1;1228;26;500;61;2;0,08;0,14;1,3;28;0,25;0;26;156;0,01;0
CANNOLI ALLA CREMA;100;369;1544;33,7;6,2;4;2,2;42,2;31,3;10,9;20,7;9,9;6,78;1,56;5,99;1,3;0,22;0;189;1,1;0;1,3;52;250;130;0;0,5;0;0;0;0;0,07;10;0;0;0,89;0
CAPOCOLLO;100;450;1883;36,3;20,8;20;0;1,4;0;1,4;40,2;18,39;12,49;7,37;11,09;7,31;0,06;0;66;0;0;1;25;1335;320;263;3;0,7;0,2;6;0;0,36;3;0;0;0,23;2
CAPPERI SOTT'ACETO;100;20;84;93,7;2,6;0;2,6;2,1;0;2,1;0,1;0,01;0,01;0,01;0,01;0,01;0,01;0;0;1,5;0;0,9;19;1517;240;20;0,2;0,03;2;0,4;17;0,07;38;2;2;0;0
CAPRETTO [CAPRA HIREUS];75;122;510;74,8;19,2;19;0;0;0;0;5;1,54;2,23;0,39;2,03;0,22;0,04;0;56;0;0;1;9;82;385;220;2;0,25;0,1;5,7;0;0,3;5;0;0;0,09;0
CAPRIOLO [CERVUS spp], COSCIA;100;103;431;74,4;22,2;22;0;0;0;0;1,6;0,63;0,44;0,31;0,42;0,2;0,05;0;50;0;0;3,3;5;55;340;210;2,4;0,22;0,25;6,4;0;0,37;4;0;0;0,2;0
CAPRIOLO [CERVUS spp], SCHIENA;30;122;510;72,2;22,4;22;0;0,6;0;0,6;3,6;1,41;1;0,7;0,94;0,46;0,1;0;85;0;0;3;25;84;342;220;3,2;0,22;0,25;6,4;0;0,37;4;0;0;0,76;0
CARAMELLE ALLA FRUTTA;100;327;1368;9,1;2,8;0;2,8;84,2;3,4;59,3;0;0;0;0;0;0;0;0;0;0;0;0,4;28;33;28;4;2;0;0;0;0;0;0;0;0;0;0
CARAMELLE ALLA MENTA;100;393;1644;0,2;0,5;0;0,5;102,7;0;102,7;0,7;0,18;0,02;0,38;0,02;0,05;0,32;2;0;0;0;0,2;7;9;2;2;2;0;0;0;0;0;0;0;0;0;0
CARAMELLE DURE;100;343;1435;2,7;2;0;2;91,6;0;91,6;2;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;2;0;0;0;0;0;0;0;0;0;0
CARAMELLE MORBIDE, MOU;100;430;1799;4,8;2,1;2;0;71,1;1,1;70;17,2;10,71;4,97;0,64;4,33;0,39;0,25;0;17;0;0;1,5;95;320;210;64;0,3;0;0;0;0;0;0;0;0;0;0
CARCIOFI [CYNARA SCOLYMUS];34;22;92;84;2,7;0;2,7;2,5;0,6;1,9;0,2;0,05;0,01;0,08;0,01;0,06;0,02;0;0;5,5;0;1;86;133;376;67;0,8;0,06;0,1;0,5;12;0,03;68;18;108;0,19;0
CARCIOFI SURGELATI;100;38;159;88,6;2,6;0;2,6;3,9;0,9;3;0,4;0,1;0,01;0,18;0,01;0,13;0,05;0;0;3,9;0;0,5;19;47;248;58;0,3;0,06;0,14;0,9;5;0,08;126;15;90;0,19;0
CARCIOFINI SOTT'ACETO;100;18;75;84,4;2,9;0;2,9;2,7;2;1,3;0,2;0,05;0,01;0,09;0,01;0,06;0,02;0;0;5,5;0;0,5;44;821;330;40;0,5;2;0,02;1;1;0,02;50;15;90;0,19;0
CARCIOFINI SOTT'OLIO;100;68;285;83;1,8;0;1,8;2,6;1,5;1,1;5,7;0,67;1,85;2,85;1,83;2,81;0,04;0;0;3,3;0;1;44;1053;146;63;0,5;0,06;0,09;0,5;0;0,03;64;17;102;2,98;0
CARDI [CYNARA CARDUNCULUS];70;10;42;94,3;0,6;0;0,6;1,7;0,2;1,5;0,1;0,01;0,02;0,04;0,02;0,04;0;0;0;1,5;0;0,2;96;23;293;11;0,2;0,02;0,04;0,2;4;0,04;28;2;2;0,19;0
CAROTE [DAUCUS CAROTA];95;33;138;91,6;1,1;0;1,1;7,6;0;7,6;0;0;0;0;0;0;0;0;0;3,1;0;0,7;44;95;220;37;0,4;0,04;0,04;0,7;4;0,12;10;1148;6888;0,46;0
CARPA [CYPRINUS CARPIO];50;140;586;72,4;18,9;18;0;0;0;0;7,1;1,37;2,95;1,81;1,46;0,66;0,34;0;70;0;0;1;34;50;286;220;1,7;0,07;0,04;1,5;1;0,22;17;44;2;0,93;10
CASTAGNE [CASTANEA SATIVA];69;189;791;41;3,5;0;3,5;42,4;34,3;8,1;1,8;0,31;0,67;0,72;0,66;0,65;0,07;0;0;9;0;1,2;38;11;500;89;1,8;0,22;0,35;1,4;2;0,42;62;0;0;0,98;0
CASTAGNE, secche;100;349;1460;10,1;4,7;0;4,7;80,9;65,5;15,4;3;0,52;1,12;1,2;1,1;1,08;0,12;0;0;13,1;0;2;52;18;930;90;0,9;0,33;0,4;2,3;2;0,64;110;0;0;1,33;0
CASTRATO [OVIS AGNUS], CARNE SEMIGRASSA;100;227;950;64,5;16,8;16;0;0;0;0;17,8;7,93;6,2;0,78;6;0,39;0,39;0;77;0;0;1,9;9;69;310;174;3,5;0,14;0,19;4,7;0;0,2;2;5;2;0,18;0
CASTRATO, CARNE GRASSA;65;332;1389;53;16,5;16;0;0;0;0;29,5;13,93;10,89;1,37;10,53;0,69;0,69;0;76;0;0;1,6;8;58;250;157;1,9;0,12;0,16;3,9;0;0,34;11;15;2;0,07;0
CASTRATO, CARNE MAGRA;65;122;510;76;17;17;0;0;0;0;6;2,83;2,22;0,28;2,14;0,14;0,14;0;71;0;0;2,2;10;70;330;191;3,3;0,16;0,22;5,4;0;0,3;6;6;2;0,09;0
CAVALLO [EQUUS CABALUS];100;113;473;74,1;21,7;21;0;0,5;0;0,5;2,7;0,97;1,11;0,57;0,9;0,18;0,27;0;52;0;0;3,2;10;44;330;230;2,1;0,1;0,12;4,6;0;0,38;8;0;0;0,48;0
CAVALLO, CUORE;100;146;611;73;18,7;18;0;0,6;0;0,6;7,7;2,41;2,69;1,09;2,18;0,49;0,6;0;150;0;0;5;9;95;320;214;1,8;0,51;0,91;7,1;5;0,23;4;0;0;0,45;1
CAVALLO, FEGATO;100;145;607;67,8;22,4;22;0;5,3;0;5,3;4;1,47;0,64;0,84;0,54;0,22;0,07;0;300;0;0;9;8;81;320;358;4;0,3;2,88;14,7;30;0,83;330;11000;1172;0,42;1
CAVIALE;100;252;1054;48;18,9;18;0;1,9;0;1,9;18,8;4,26;4,86;7,78;3,32;0,09;0,02;7;588;0;0;11,9;275;1500;181;356;1;0,19;0,62;0,1;0;0,32;50;560;2;7;5
CAVOLFIORE [BRASSICA OLERACEA, CV BOTRYTIS CAULIFLAURA];66;25;105;90,5;3,2;0;3,2;2,7;0,3;2,4;0,2;0,03;0,01;0,08;0,01;0,02;0,06;0;0;2,4;0;0,8;44;8;350;69;0,7;0,1;0,1;1,2;59;0,23;54;2;2;0,18;0
CAVOLI DI BRUXELLES [BRASSICA OLERACEA, CV GEMMIFERA];76;37;155;85,7;4,2;0;4,2;4,3;1;3,3;0,5;0,1;0,04;0,26;0,03;0,08;0,17;0;0;5,2;0;1,1;51;10;380;50;0,5;0,08;0,14;0,7;81;0,37;135;220;1320;1;0
CAVOLO BROCCOLO VERDE RAMOSO [BRASSICA OLERACEA CV BOTRITYS CIMOSA];72;24;100;89;3,4;0;3,4;2;0;2;0,3;0,05;0,02;0,14;0,02;0,03;0,11;0;0;3,1;0;1,2;72;12;340;74;0,6;0,08;0,21;1,8;77;0,14;90;123;738;1,3;0
CAVOLO CAPPUCCIO ROSSO [BRASSICA OLERACEA, CV CAPITATA RUBRA];94;20;84;92,3;1,9;0;1,9;2,7;0;2,7;0,2;0,03;0,01;0,1;0,01;0,04;0,05;0;0;1;0;1;60;32;300;24;0,3;0,06;0,05;0,6;52;0,07;32;2;2;0,17;0
CAVOLO CAPPUCCIO VERDE [BRASSICA OLERACEA, CV CAPITATA ALBA];93;19;79;92,2;2,1;0;2,1;2,5;0;2,5;0,1;0,01;0,01;0,05;0,01;0,02;0,03;0;0;2,9;0;1,1;60;23;260;29;0,2;0,06;0,04;0,6;47;0,17;59;19;114;0,15;0
CECI [CICER ARIETINUM], secchi;100;334;1397;13;21,8;0;21,8;54,3;50,6;3,7;4,9;0,63;1,36;2,69;1,35;2,59;0,1;0;0;13,8;0;6,1;117;6;800;299;3,3;0,36;0,14;1,7;5;0,53;180;30;180;2,61;0
CECI IN SCATOLA;100;56;234;78;4,3;0;4,3;7,2;5,8;1,4;1,4;0,18;0,39;0,77;0,38;0,74;0,03;0;0;8,1;0;1,5;41;336;96;55;0,5;0,03;0,02;0,1;2;0,03;7;2;14;1,05;0
CEDRO CANDITO;100;187;782;17;0,1;0;0,1;49,4;0;49,4;0,2;0,02;0,04;0,04;0,03;0,03;0,01;0;0;3,3;0;1,1;55;27;24;6;0,1;2;2;0,9;2;2;2;1;7;2;0
CEFALO MUGGINE [MUGIL CEPHALUS];55;127;531;73,4;15,8;15;0;0,7;0;0,7;6,8;1,78;1,57;2,06;0,82;0,39;0;1;61;0;0;1,8;26;65;350;220;0,4;0,06;0,1;7,3;2;0,43;9;17;2;1;0
CEREALI AGGREGATI;100;342;1431;5,8;10,7;0;10,7;74,9;68,5;6,4;2;0,46;0,22;1,22;0,22;1,16;0,06;0;0;11,6;0;6;35;370;370;290;2;0,7;1;10;0;0,22;50;0;0;1,03;0
CERNIA [EPINEPHELUS GUAZA];41;80;335;78;17,9;17;0;0,6;0;0,6;0,7;0,16;0,14;0,22;0,1;0,01;0,01;0;37;0;0;0,3;11;53;483;128;0,5;0,04;0,12;0,4;0;0,3;9;0;0;0,5;2
CERNIA DI FONDO [POLYPRION CERNIUM];69;125;523;74;15,6;15;0;0,6;0;0,6;6,7;1,53;1,33;2,11;0,95;0,08;0,07;1;36;0;0;0,3;45;119;258;121;0,5;0,19;0,04;3,1;0;0,3;9;43;2;0,5;11
CERNIA SURGELATA;68;88;368;78,5;17;17;0;0,6;0;0,6;2;0,46;0,4;0,63;0,28;0,02;0,02;0;37;0;0;0,3;11;53;483;128;0,5;0,04;0,12;0,4;0;0,3;9;0;0;0,5;2
CERTOSINO;100;268;1121;57;17,5;17;0;2;0;2;22;13,65;7,12;0,78;6,02;0,45;0,32;0;90;0;0;0,3;440;430;125;263;1,4;0,05;0,36;0,1;2;0,08;19;293;105;0,24;0
CETRIOLI [CUCUMIS SATIVUS];77;14;59;96,5;0,7;0;0,7;1,8;0;1,8;0,5;0,17;0,01;0,23;0,01;0,12;0,11;0;0;0,6;0;0,3;16;13;140;17;0,1;0,02;0,03;0,6;11;0,04;9;2;2;0,07;0
CETRIOLI IN SALAMOIA;67;14;59;92,8;0,9;0;0,9;2,6;0,2;2,4;0,1;0,03;2;0,04;2;0,02;0,02;0;0;1,2;0;0,7;20;690;110;22;0,3;2;0,02;0,1;1;0,01;6;2;2;0,16;0
CETRIOLINI SOTT'ACETO;67;14;59;92,8;0,9;0;0,9;2,6;0,2;2,4;0,1;0,03;2;0,04;2;0,02;0,02;0;0;1,2;0;0,7;20;690;110;22;0,3;2;0,02;0,1;1;0,01;6;2;2;0,07;0
CHAMPAGNE;100;76;318;86,8;0,3;0;0,3;1,4;0;1,4;0;0;0;0;0;0;0;0;0;0;9;0,5;3;4;57;7;2;2;0,01;0,1;0;0,02;2;2;2;0;0
CHEDDAR;100;381;1594;38,5;25;25;0;0,5;0;0,5;31;18,52;8,52;0,88;7,64;0,5;0,38;0;100;0;0;0,5;810;610;120;545;2,3;0,01;0,45;0,1;0;0,1;33;420;260;0,5;0
CHERRY BRANDY;100;255;1067;3;2;0;2;32,6;0;32,6;0;0;0;0;0;0;0;0;0;0;19;0,1;5;12;34;7;2;2;2;2;0;2;2;2;2;0;0
CICCIOLI;100;523;2188;12;40,8;40;0;0;0;0;40;16,14;17,86;2,9;16,33;2,68;0,22;0;70;0;0;1,4;30;1470;230;235;1,6;0,22;0,19;2;0;0,27;2;0;0;0,08;2
CICORIA [CICHORIUM INTYBUS];80;10;42;93,4;1,4;0;1,4;0,7;0;0,7;0,2;0,05;2;0,09;2;0,07;0,01;0;0;3,6;0;0,7;74;14;236;31;0,2;0,03;0,19;0,3;17;0,01;16;219;1314;0,57;0
CICORIA CATALOGNA [CHICORIUM INTYBUS, CV CATALOGNA];80;24;100;90;1,8;0;1,8;3,2;0,2;3;0,5;0,12;0,01;0,22;0,01;0,19;0,03;0;0;3,1;0;0,7;74;21;358;31;0,3;0,03;0,19;0,3;17;0,11;110;219;1315;2,26;0
CICORIA DA TAGLIO [CHICORIUM INTYBUS, CV BARBA DI FRATE];89;12;50;95;1,2;0;1,2;1,7;0;1,7;0,1;0,02;2;0,04;2;0,04;0,01;0;0;3,6;0;1,5;150;7;180;26;0,2;0,03;0,08;0,3;8;0,01;12;267;1602;2,26;0
CICORIA WITLOOF [CHICORIUM INTYBUS, CV. WITLOOF];100;17;71;94,3;0,7;0;0,7;3,2;0;3,2;0,3;0,07;0,01;0,13;0,01;0,11;0,02;2;0;0,6;0;0,3;18;1;170;26;0,2;0,04;0,03;0,3;3;0,01;14;10;60;2,26;0
CILIEGE [PRUNUS AVIUM];86;38;159;86,2;0,8;0;0,8;9;0;9;0,1;0,02;0,03;0,03;0,03;0,02;0,01;0;0;1,3;0;0,6;30;3;229;18;0,1;0,03;0,03;0,5;11;0,04;4;19;114;0,1;0
CIOCCOLATO AL LATTE;100;565;2364;1,7;8,9;6;2,9;50,8;2;50,8;37,6;21,93;12,04;1,32;11,83;1,03;0,29;0;28;0,8;0;3;262;120;420;207;0,2;0,09;0,39;0,6;0;0,04;11;33;13;0,55;0
CIOCCOLATO BIANCO;100;529;2213;0,6;8;5;2,6;58,3;2;58,3;30,9;18,02;9,89;1,08;9,72;0,85;0,23;0;23;0,8;0;0,2;270;110;350;230;0,9;0,08;0,49;0,2;0;0,07;10;26;75;1,14;2
CIOCCOLATO CON NOCCIOLE;100;571;2389;2,1;9,3;5;3,9;45,9;0;45,9;40,1;20,15;14,63;1,7;14,42;1,43;0,27;0;25;1,4;0;3;251;109;425;219;0,3;0,13;0,36;0,8;2;0,1;17;33;30;2,99;0
CIOCCOLATO FONDENTE;100;542;2268;1,1;5,8;4;1,6;56,7;0;56,7;34;20,25;10,92;1,07;10,92;1,07;0;0;0;1,4;0;5;51;11;300;186;1,3;0,07;0,07;0,6;0;0,03;12;9;54;1,44;0
CIOCCOLATO GIANDUIA;100;509;2130;2,8;13,1;0;13,1;52,7;0;52,7;28,8;17,15;9,25;0,91;9,25;0,91;0;0;0;2,5;0;1,9;42;6;300;162;1,3;0,26;0,26;2;0;0,03;12;18;108;1,44;0
CIPOLLE [ALLIUM CEPA];83;26;109;92,1;1;0;1;5,7;0;5,7;0,1;0,02;0,01;0,03;0,01;0,03;2;0;0;1,1;0;0,4;25;10;140;35;0,3;0,02;0,03;0,5;5;0,14;12;0;0;0,22;0
CIPOLLE, secche;100;313;1310;4,5;10,2;0;10,2;68,6;2;48,7;1,7;0,3;0,26;0,71;0,26;0,68;0,03;0;0;13;0;2,6;220;170;1390;260;1,7;0,23;2;0,8;33;1,6;166;14;85;2,69;0
CIPOLLINE [ALLIUM CEPA, CV PRAECOX];93;38;159;88,2;1,3;0;1,3;8,5;0;8,5;0,1;0,02;0,01;0,04;0,01;0,04;2;0;0;1,7;0;0,4;51;13;230;48;0,2;0,05;0,04;0,8;6;0,2;17;0;0;0,31;0
CIPOLLINE SOTT'ACETO;100;24;100;90,6;0,9;0;0,9;4,9;2;3,5;0,2;0,03;0,03;0,08;0,03;0,07;2;0;0;1,3;0;0,2;22;450;93;23;0,1;0,02;2;0,1;2;0,1;14;2;10;0,31;0
COCA COLA;100;39;163;89;2;0;2;10,5;0;10,5;0;0;0;0;0;0;0;0;0;0;0;2;5;8;1;15;2;0;0;0;0;0;0;0;0;0;0
COCOMERO [CITRULLUS VULGARIS];52;15;63;95,3;0,4;0;0,4;3,7;0;3,7;0;0;0;0;0;0;0;0;0;0,2;0;0,2;7;3;280;2;0,1;0,02;0,02;0,1;8;0,08;1;37;222;0,06;0
COGNAC;100;214;895;69;2;0;2;0,9;0;0,9;0;0;0;0;0;0;0;0;0;0;30;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
CONFETTI;100;441;1845;4,1;5,2;0;5,2;71,9;0;71,9;16,7;1,39;11,91;3,28;11,8;3,18;0,09;0;0;4,6;0;1,7;77;3;280;165;1,1;0,1;0,14;0,7;0;0,05;16;0;0;7,77;0
CONIGLIO [ORYCTOLAGUS CUNICULUS], CARNE SEMIGRASSA;68;138;577;70,9;22,1;22;0;0,5;0;0,5;5,3;2,04;1,22;1,69;0,98;0,53;1,16;0;65;0;0;1,3;17;67;360;180;1,4;0,17;0,11;3,7;0;0,5;5;0;0;0,13;0
CONIGLIO, CARNE GRASSA;68;203;849;66,2;18,1;18;0;0,4;0;0,4;14,4;5,55;3,4;4,59;2,67;1,43;3,16;0;65;0;0;0,1;13;78;418;180;1,7;2;0,09;3;0;0,59;6;2;0;0,4;0
CONIGLIO, CARNE MAGRA;68;102;427;75,3;23,7;23;0;0,6;0;0,6;0,6;0,23;0,14;0,19;0,11;0,06;0,13;0;65;0;0;1,3;17;57;306;180;1,2;0,19;0,12;4;0;0,43;4;0;0;0,01;0
CONIGLIO, FRATTAGLIE;100;147;615;70;18,7;18;0;0,4;0;0,4;7,9;3,12;1,57;2,43;1,4;0,73;0,13;1;225;0;0;8;20;67;360;320;1,4;0,31;0,5;5,7;9;0,5;5;4550;140;0,13;0
CONO PER GELATO;100;366;1531;2,8;10,1;0;10,1;78,8;77,7;1,1;3,3;0,49;1,26;1,25;1,25;1,17;0,08;0;0;3;0;2;170;93;190;130;0,7;0,2;0,04;2,3;0;0,15;15;0;0;1,38;0
COPPA;100;494;2067;34,8;17;17;0;0;0;0;47,3;21,64;14,69;8,67;13,04;8,6;0,07;0;66;0;0;1,3;11;1335;320;170;3;0,6;0,23;5,6;0;0,36;3;0;0;0,23;2
COPPA PARMA;100;398;1665;36,9;23,6;23;0;0,6;0;0,6;33,5;10,98;15,1;4,69;13,78;4,05;0,29;0;96;0;0;1,9;17;2285;650;170;5,3;0,14;0,16;5,6;0;0,36;3;2;0;0,23;2
CORNED BEEF IN SCATOLA;100;219;916;59,6;23,2;23;0;0;0;0;14;5,88;6,64;0,57;5,5;0,27;0,17;0;108;0;0;2,4;9;1000;140;125;5,5;0,03;0,15;1,7;0;0,18;5;0;0;1;1
COTECHINO;100;450;1883;36,8;17,2;17;0;0;0;0;42,3;14;20,28;5,96;18,46;4,98;0,34;0;98;0;0;2,1;30;1744;272;109;4,1;0,2;0,16;7,3;0;0,07;1;0;0;0,24;2
COTECHINO, cotto;100;306;1280;51,4;21,1;21;0;0;0;0;24,7;8,18;11,84;3,48;10,78;2,91;0,2;0;98;0;0;2,1;30;1744;272;109;4,1;0,2;0,16;3;0;0,07;1;0;0;0,24;2
COZZA O MITILO [MYTILUS EDULIS];32;84;351;82,1;11,7;11;0;3,4;0;2;2,7;0,52;0,63;0,58;0,16;0,05;0,04;0;108;0;0;5,8;88;290;320;236;1,6;0,12;0,16;1,6;2;0,08;37;54;2;1,11;2
CRACKERS AL FORMAGGIO;100;502;2100;5,5;9,8;1;8,6;62,1;62,1;0;25,5;9,45;9,07;4,88;8,79;4,5;0,38;0;13;2,8;0;4,8;151;995;145;218;1,1;0,57;0,43;4,7;0;0,55;25;30;18;1,01;0
CRACKERS INTEGRALI;100;443;1854;2,7;8,8;0;8,8;58,1;58,1;2;17,2;3,08;9,49;2,69;9,46;2,63;0,06;2;0;10,5;0;3,1;50;659;297;295;2,2;0,2;0,1;4,5;0;0,18;28;0;0;3,92;0
CRACKERS NON SALATI;100;440;1841;4,3;9,5;0;9,5;68,3;68,3;2;16,3;3,13;6,94;5,34;6,82;4,97;0,37;0;0;6,1;0;1,7;110;610;120;110;0,7;0,23;0,05;1,7;0;0,12;22;0;0;1,3;0
CRACKERS SALATI;100;428;1791;6;9,4;0;9,4;80,1;77,5;2,6;10;1,92;4,26;3,27;4,18;3,05;0,23;0;0;2,8;0;1,7;110;879;120;110;0,7;0,23;0,05;1,7;0;0,12;22;0;0;1,3;0
CRACKERS SENZA GRASSI;100;393;1644;3,4;10,5;0;10,5;79,6;79,6;2;1,6;0,24;0,14;0,69;0,14;0,65;0,04;0;0;2,7;0;7,7;22;636;115;113;0,9;0,52;0,59;5,7;0;0,09;13;0;0;0,08;0
CRACOTTE;100;348;1456;5,7;10,5;0;10,5;78,8;75,2;3,6;1,2;0,13;0,13;0,51;0,13;0,44;0,07;0;0;9,2;0;2,1;80;640;500;3;0,6;0,28;0,14;1,1;0;0,29;35;0;0;0,5;0
CRAUTI;100;24;100;91;1,5;0;1,5;4;0;4;0,3;0,08;0,03;0,13;0,02;0,06;0,05;0;0;1,1;0;0,6;48;355;288;43;0,4;0,03;0,05;0,2;20;0,15;16;2;2;0,2;0
CREMA DI CACAO E NOCCIOLE;100;537;2247;0,8;6,9;4;2,3;58,1;0;58,1;32,4;9,92;16,49;4,52;16,44;2,02;0,12;2;2;1,2;0;3,6;143;50;370;164;1;0,03;0,1;0,5;0;0,1;11;2;2;0,45;2
CREMA PER PASTICCERIA;100;192;803;59;4,8;4;0,6;30,7;4,8;25,9;6,4;2,63;2,39;0,61;2,12;0,53;0,05;0;68;0,2;0;0,8;97;38;110;136;0,8;0,08;0,16;0,1;2;0,09;23;115;40;0,49;0
CREME CARAMEL;100;109;456;72;3;2;0,8;20,6;2,6;18;2,2;1,35;0,62;0,09;0,57;0,05;0,04;0;12;0,1;0;2;94;70;150;77;0,3;0,03;0,2;0,1;0;0,03;8;38;8;0,16;0
CRESCIONE [NASTURTIUM OFFICINALIS];62;22;92;92,5;3;0;3;0,4;2;0,4;1;0,27;0,08;0,35;0,06;0,12;0,23;0;0;3;0;2,2;170;49;230;52;0,7;0,16;0,06;0,3;62;0,23;14;420;2520;1,46;0
CROSTATA CON MARMELLATA;100;339;1418;20,9;4,9;1;3,3;65,5;25,9;39,6;8,2;4,56;2,37;0,41;2,09;0,29;0,11;2;52;1,6;0;1,4;55;230;110;46;0,3;0,07;0,01;0,5;2;0,04;4;73;68;0,74;0
CRUSCA DI GRANO;100;206;862;8,3;14,1;0;14,1;26,8;23;3,8;5,5;0,93;0,73;2,86;0,69;2,68;0,18;2;0;39,6;0;12,9;110;28;1160;1200;16,2;0,89;0,36;29,6;0;1,38;260;0;0;2,6;0
CUMINO [CUMINUM CYMINUM], SEMI;100;375;1569;8,1;17,8;0;17,8;33,7;0;33,7;22,3;0,72;14,86;2,53;14,86;2,53;0;0;0;10,5;0;66,4;931;168;1788;499;4,8;0,63;0,33;4,6;8;0,44;0;127;762;2,72;0
DADI PER BRODO;100;152;636;4,6;15,7;15;0;5;4;1;18,7;9,09;7,61;0,7;6,76;0,59;0,11;0;10;0,2;0;1,2;60;16982;446;320;0,8;0,07;0,24;4,5;0;0,57;1050;15;0;0;0
DADI PER BRODO VEGETALE;100;253;1059;5,7;13,5;0;13,5;11,6;9,4;2,2;17,3;4,33;7,7;4,52;7,7;4,24;0,28;0;0;2;0;2,8;47;16800;390;120;0,4;5,18;0,45;2,2;0;0,1;30;15;90;0;0
DAIKON [RAPHUS SATIVUS];87;15;63;93;0,8;0;0,8;2,9;2;2,9;0,1;0,03;0,02;0,05;0,02;0,02;0,03;0;0;1,5;0;0,4;30;27;220;25;0,3;0,03;0,02;0,5;24;0,07;38;0;0;0;0
