ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
SCAMORZA AFFUMICATA;100;209;874;58,7;22,7;22;0;7,2;0;7,2;10,1;6,28;2,85;0,3;2,45;0,21;0,09;0;65;0;0;0,2;392;137;38;229;4,3;0,05;0,51;0,4;2;0,09;19;268;170;0,33;0
SCAROLA [LACTUCA SCAROLA];60;15;63;93;1,6;0;1,6;1,7;0;1,7;0,2;0,05;2;0,09;2;0,07;0,01;0;0;1,5;0;0,3;30;9;240;23;0,2;0,06;0,07;0,4;15;0,02;156;167;1000;0,57;0
SCIROPPO DI MALTO;100;318;1331;21,1;6,2;0;6,2;71,3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;61;35;320;236;0,1;0,01;0,39;8,1;0;0,5;12;0;0;0;0
SCIROPPO PER BIBITE;100;297;1243;20;0,3;0;0,3;79;0;79;0;0;0;0;0;0;0;0;0;0;0;1,5;26;270;240;20;0,1;2;2;2;0;2;2;0;0;2;0
SCORZONERA [TRAGOPOGON PORRIFOLIUS];59;27;113;83,3;1,3;0;1,3;10,2;3,5;1,5;0,3;0,07;0,01;0,13;0,01;0,11;0,02;0;0;3,2;0;0,9;42;5;310;42;0,2;0,06;0,01;0,2;3;0,07;57;3;20;0,19;0
SEDANO [APIUM GRAVEOLENS];80;20;84;88,3;2,3;0;2,3;2,4;0,2;2,2;0,2;0,05;0,04;0,1;0,04;0,1;0;0;0;1,6;0;0,5;31;140;280;45;0,1;0,06;0,19;0,2;32;0,07;38;207;1242;0,48;0
SEDANO RAPA [APIUM GRAVEOLENS, CV RAPACEUM];72;23;96;88;1,9;0;1,9;3,8;0;3,8;0,1;0,03;0,02;0,05;0,02;0,05;0;0;0;5,1;0;0,5;52;91;460;90;0,3;0,07;0,11;0,5;6;0,08;51;0;0;0,52;0
SEGO DI BUE;100;872;3648;2;0,8;0;0;0;0;0;96,5;48,06;40,34;3,86;34,74;2,99;0,58;0;109;0;0;0;0;2;2;7;0;0;0;0;1;0;0;224;2;2,7;2
SEMOLA;100;341;1427;14;11,5;0;11,5;77,6;75,7;1,9;0,5;0,12;0,06;0,31;0,06;0,29;0,02;0;0;3,6;0;1,3;17;12;170;165;0,6;0,19;0,15;2;0;0,15;22;0;0;2;0
SEPPIA [SEPIA OFFICINALIS];50;72;301;81,5;14;14;0;0,7;0;0,7;1,5;0,43;0,21;0,43;2;2;2;0;110;0;0;0,8;27;97;273;143;1,2;0,11;0,04;0,9;2;0,39;13;25;2;1,2;2
SEPPIA SURGELATA;98;63;264;82;14,1;14;0;0,7;0;2;0,4;0,11;0,06;0,11;2;2;2;0;110;0;0;0,8;27;94;273;143;1,2;0,1;0,04;0,9;2;0,39;13;0;0;1,2;2
SGOMBRO O MACCARELLO [SCOMBER SCOMBRUS];80;168;703;69,8;17;17;0;0;0;0;11,1;2,6;4,13;2,46;1,84;0,16;0,15;2;95;0;0;1,2;38;130;360;264;0,5;0,1;0,25;7,6;2;0,34;1;45;2;0,25;2
SGOMBRO O MACCARELLO IN SALAMOIA;100;177;741;66;19,3;19;0;0;0;0;11,1;2,6;4,13;2,46;1,84;0,16;0,15;2;32;0;0;2,1;185;232;95;274;2,3;0,06;0,21;5,8;0;0,12;1;129;2;0,43;3
SGOMBRO, FILETTI SOTT'OLIO;88;201;841;59;25,3;25;0;1;0;1;10,7;2,31;4,96;2,02;3,28;0,32;0,14;1;94;0;0;0,9;32;224;92;280;0,5;0,15;0,22;6;0;0,12;1;125;2;0,59;2
SHOYU, salsa di soia e grano;100;53;222;71,1;5,2;0;5,2;7,7;6,9;0,8;0,1;0,01;0,01;0,04;0,01;0,03;2;0;0;0,8;0;2;17;5715;180;110;0,4;0,05;0,13;3,4;0;0,17;16;0;0;0;0
